Party,Votes,Percentage,Seats
Bharatiya Janata Party (BJP),34403299,39.67%,312
Bahujan Samaj Party (BSP),19281340,22.23%,19
Samajwadi Party (SP),18923769,21.82%,47
Indian National Congress (INC),5416540,6.25%,7
Independents (IND),2229453,2.57%,3
Rashtriya Lok Dal (RLD),1545811,1.78%,1
Apna Dal (Sonelal),851336,0.98%,9
Suheldev Bharatiya Samaj Party (SBSP),607911,0.70%,4
NISHAD Party,540539,0.62%,1
others,2918326,3.68%,0
